Source,Target
19964,14978
19982,70847
19997,5121
19999,20024
20003,6339
20003,1026
20007,19958
20010,69556
20024,20082
20031,18545
20057,14008
20061,5724
20063,2728
20069,19327
20093,2216
20105,83
20113,68463
20113,19558
20128,13824
20136,14168
20137,9031
20180,14978
20189,19796
20206,19711
20212,5121
20220,19849
20234,6337
20251,17316
20265,74353
20298,3719
20300,19459
20313,2631
20314,20326
20320,33471
20355,238006
20356,20318
20404,10911
20419,5121
20431,20989
20449,5121
20460,6925
20460,4737
20460,3402
20494,6147
20500,18863
20500,37776
20502,16988
20507,473236
20507,432542
20507,9168
20543,4983
20560,594
20576,11075
20576,19770
20578,230476
20591,5121
20593,16592
20612,10232
20616,16592
20630,18641
20630,14896
20632,16592
20667,12909
20667,34430
20679,20616
20680,23750
20690,45044
20690,7295
20690,17679
20693,20612
20710,97641
20719,20119
20725,13065
20746,14259
20754,21686
20754,11322
20760,4360
20767,160945
20775,18641
20784,298931
20790,13878
20804,20821
20829,16845
20840,19812
20844,723
20857,120
20872,776
20872,18038
20897,11406
20909,6009
20922,15518
20922,1784
20959,5121
20959,20112
20971,193
20985,19245
20987,9040
20987,100
21033,16178
21033,11760
21044,32499
21107,9515
21118,565
21131,55848
21131,56104
21132,18641
21183,10008
21188,43621
21198,86031
21223,24006
21243,21208
21243,11067
21249,5121
21286,218148
21301,20119
21301,4323
21305,87057
21307,132317
21312,5853
21326,61785
21343,8911
21348,149707
21370,474
21396,142182
21412,18641
21414,579
21414,21305
21427,21686
21449,14168
21463,122861
21490,3872
21494,14844
21553,19361
21555,20034
21561,48468
21561,56104
21563,17578
21568,16811
21578,2544
21596,21555
21600,17249
21604,18641
21618,18724
21633,47522
21641,18641
21641,12909
21645,867
21651,3503
21673,21679
21681,37320
21686,4983
21697,16253
21697,18413
21711,21198
21711,27527
21711,5082
21711,126100
21719,247
21724,34644
21730,3837
21730,4489
21742,4408
21755,95057
21759,88366
21787,35971
21787,134
21787,174460
21811,53896
21819,814
21823,137151
21836,21305
21842,107945
21857,17873
21859,18403
21860,1403
21877,21864
21886,6948
21886,162571
21891,15318
21895,19320
21895,22013
21917,75887
21929,9958
21953,281062
21962,2290
21965,21929
21967,18566
21970,18641
21970,20119
21980,442
21980,7850
21989,21987
21997,6339
22000,20119
22004,784
22006,2471
22068,5121
22075,14008
22082,5980
22082,3167
22091,13663
22098,17207
22111,124292
22111,22993
22134,5121
22153,18641
22156,18641
22168,19906
22171,3677
22215,138547
22242,21381
22268,21351
22287,22303
22297,10465
22302,228222
22303,35478
22307,23577
22307,5121
22313,189265
22313,17249
22313,243409
22313,34490
22324,23233
22338,4474
22350,22013
22361,14535
22361,22313
22369,22337
22383,20105
22383,21985
22401,37335
22402,206407
22411,3872
22437,289535
22439,19900
22456,16642
22462,55868
22466,22500
22469,18751
22469,137828
22486,18641
22493,18641
22498,16371
22509,79302
22510,87111
22517,18641
22525,19639
22542,20280
22545,48378
22555,17626
22577,17381
22588,21305
22596,5121
22596,21287
22608,500
22608,166311
22650,5567
22652,5121
22661,10334
22676,14008
22686,6339
22693,18641
22716,198
22726,9189
22735,17157
22743,92556
22743,10519
22743,75709
22747,22747
22747,110477
22747,91815
22747,34430
22763,21679
22774,25597
22778,11840
22786,9933
22789,2544
22812,22011
22831,5435
22835,3063
22845,2596
22886,10223
22896,13641
22913,22812
22915,21587
22925,5121
22935,11760
22945,6724
22946,58172
22946,70969
22967,154699
22970,14008
23003,10410
23007,22536
23013,10896
23014,17846
23053,22743
23062,501
23067,13250
23068,22102
23090,65864
23108,22778
23108,11840
23126,17249
23126,23795
23128,23108
23128,61448
23128,30762
23165,6302
23165,10090
23195,20119
23198,35401
23198,4190
23206,7446
23231,16144
23238,20531
23276,22267
23282,1414
23282,16825
23287,2596
23287,2368
23297,15123
23301,23165
23301,9883
23301,10765
23301,21115
23314,5571
23330,358
23367,17851
23373,24149
23388,4983
23390,13065
23399,22786
23404,93654
23408,23426
23418,19704
23470,915
23473,7373
23475,13958
23489,100752
23489,46240
23498,6025
23502,15518
23502,14478
23518,53667
23555,21056
23556,29029
23557,17937
23562,18615
23562,6784
23590,18832
23596,209
23602,16728
23611,47494
23615,23596
23630,67283
23643,23491
23651,26353
23665,16446
23666,3807
23673,5675
23674,154097
23691,14008
23711,14008
23721,20119
23748,162075
23750,20680
23790,22500
23795,22993
23795,23126
23795,23009
23796,674
23806,30334
23806,4983
23810,23932
23812,14168
23834,23818
23841,13407
23847,974
23852,26047
23853,400
23897,22297
23898,14685
23907,221957
23912,22297
23917,18345
23932,184610
23942,18564
23955,16874
23955,50687
23962,45357
23962,58547
23967,3719
23979,5121
23991,186003
24006,57620
24011,11538
24012,6033
24044,4983
24051,18418
24063,5458
24064,5458
24068,2835
24072,24072
24085,5458
24121,18919
24151,4983
24157,23010
24171,533143
24171,490429
24181,3678
24202,4109
24213,7373
